220.0,16.0,1436.0,1061.0,0
65.0,7.0,135.0,276.0,0
31.0,7.0,25.0,129.0,0
22.0,2.0,25.0,96.0,0
17.0,0.0,21.0,50.0,0
8.0,0.0,6.0,25.0,0
144.0,17.0,606.0,890.0,0
51.0,7.0,164.0,279.0,0
9.0,1.0,0.0,40.0,0
30.0,7.0,33.0,183.0,0
112.0,9.0,624.0,597.0,0
238.0,37.0,1882.0,1223.0,1
2.0,0.0,0.0,13.0,0
4.0,0.0,0.0,15.0,0
0.0,0.0,0.0,6.0,0
0.0,0.0,0.0,6.0,0
3.0,0.0,0.0,13.0,0
5.0,0.0,0.0,15.0,0
7.0,0.0,1.0,18.0,0
6.0,2.0,0.0,36.0,0
6.0,2.0,0.0,45.0,0
4.0,1.0,0.0,19.0,0
26.0,0.0,91.0,74.0,0
216.0,13.0,1485.0,1171.0,0
27.0,5.0,27.0,122.0,0
1.0,32.0,0.0,148.0,0
139.0,21.0,349.0,901.0,0
11.0,1.0,4.0,53.0,0
13.0,4.0,0.0,96.0,0
373.0,34.0,7409.0,1680.0,1
22.0,3.0,39.0,102.0,0
90.0,12.0,459.0,339.0,0
41.0,6.0,13.0,187.0,0
168.0,14.0,1003.0,717.0,0
65.0,12.0,194.0,330.0,0
5.0,0.0,1.0,19.0,0
79.0,8.0,280.0,331.0,0
69.0,6.0,334.0,328.0,0
20.0,1.0,9.0,110.0,0
10.0,2.0,0.0,58.0,0
1.0,0.0,0.0,13.0,0
8.0,0.0,10.0,30.0,0
95.0,6.0,289.0,501.0,0
3.0,1.0,0.0,23.0,0
3.0,1.0,0.0,23.0,0
52.0,18.0,72.0,364.0,0
5.0,1.0,1.0,27.0,0
7.0,0.0,0.0,96.0,0
2.0,0.0,0.0,10.0,0
30.0,3.0,41.0,128.0,0
6.0,1.0,4.0,38.0,0
3.0,0.0,0.0,11.0,0
15.0,2.0,6.0,96.0,0
22.0,4.0,22.0,138.0,0
14.0,1.0,4.0,69.0,0
13.0,1.0,6.0,63.0,0
47.0,11.0,121.0,700.0,0
26.0,10.0,19.0,165.0,0
28.0,5.0,23.0,159.0,0
28.0,5.0,23.0,140.0,0
21.0,3.0,9.0,105.0,0
40.0,9.0,68.0,309.0,0
36.0,7.0,46.0,198.0,0
3.0,0.0,1.0,20.0,0
15.0,3.0,6.0,95.0,0
23.0,3.0,9.0,95.0,0
23.0,3.0,8.0,153.0,0
21.0,3.0,9.0,113.0,0
19.0,4.0,9.0,100.0,0
29.0,10.0,23.0,179.0,0
36.0,5.0,49.0,563.0,0
2.0,1.0,0.0,10.0,0
37.0,5.0,54.0,209.0,0
6.0,1.0,0.0,39.0,0
65.0,14.0,383.0,328.0,0
8.0,1.0,1.0,35.0,0
8.0,1.0,1.0,40.0,0
34.0,7.0,62.0,878.0,0
12.0,7.0,0.0,695.0,0
4.0,0.0,1.0,18.0,0
14.0,0.0,6.0,89.0,0
5.0,1.0,1.0,50.0,0
4.0,0.0,0.0,12.0,0
15.0,3.0,15.0,63.0,0
9.0,1.0,0.0,30.0,0
10.0,2.0,1.0,50.0,0
7.0,0.0,1.0,32.0,0
2.0,0.0,0.0,14.0,0
2.0,0.0,0.0,13.0,0
41.0,10.0,16.0,307.0,0
63.0,13.0,76.0,348.0,0
9.0,16.0,0.0,109.0,0
23.0,4.0,66.0,121.0,0
32.0,6.0,25.0,247.0,0
21.0,2.0,0.0,131.0,0
24.0,2.0,13.0,269.0,0
12.0,1.0,3.0,63.0,0
5.0,0.0,0.0,21.0,0
4.0,1.0,0.0,23.0,0
1.0,0.0,0.0,10.0,0
6.0,0.0,1.0,21.0,0
4.0,0.0,0.0,12.0,0
23.0,0.0,55.0,89.0,0
21.0,1.0,0.0,95.0,0
3.0,1.0,1.0,21.0,0
5.0,0.0,1.0,18.0,0
24.0,3.0,9.0,117.0,0
5.0,0.0,0.0,14.0,0
9.0,5.0,0.0,69.0,0
106.0,25.0,896.0,622.0,0
50.0,15.0,234.0,308.0,0
86.0,14.0,214.0,623.0,0
14.0,3.0,6.0,362.0,0
17.0,4.0,5.0,108.0,0
12.0,2.0,2.0,43.0,0
36.0,9.0,126.0,195.0,0
10.0,1.0,4.0,45.0,0
62.0,14.0,140.0,379.0,0
11.0,2.0,3.0,67.0,0
7.0,0.0,1.0,35.0,0
7.0,3.0,0.0,52.0,0
22.0,4.0,0.0,129.0,0
14.0,4.0,1.0,104.0,0
33.0,4.0,0.0,175.0,0
77.0,21.0,192.0,551.0,0
42.0,3.0,61.0,186.0,0
27.0,6.0,19.0,141.0,0
5.0,1.0,0.0,23.0,0
1.0,0.0,0.0,13.0,0
77.0,21.0,380.0,722.0,0
18.0,3.0,15.0,84.0,0
142.0,26.0,863.0,783.0,0
24.0,9.0,20.0,137.0,0
19.0,6.0,7.0,106.0,0
12.0,4.0,2.0,67.0,0
1.0,0.0,0.0,12.0,0
33.0,2.0,72.0,107.0,0
12.0,5.0,2.0,69.0,0
84.0,15.0,215.0,494.0,0
88.0,15.0,232.0,616.0,0
11.0,1.0,0.0,58.0,0
34.0,6.0,83.0,180.0,0
2.0,1.0,0.0,13.0,0
6.0,2.0,0.0,39.0,0
15.0,4.0,13.0,90.0,0
17.0,6.0,12.0,90.0,0
9.0,4.0,0.0,93.0,0
21.0,6.0,25.0,192.0,0
106.0,23.0,660.0,521.0,0
103.0,18.0,391.0,889.0,0
34.0,9.0,30.0,262.0,0
84.0,18.0,434.0,559.0,0
12.0,0.0,10.0,33.0,0
23.0,5.0,10.0,122.0,0
36.0,4.0,52.0,154.0,0
57.0,15.0,197.0,364.0,0
10.0,3.0,0.0,56.0,0
43.0,11.0,36.0,471.0,0
11.0,2.0,3.0,56.0,0
9.0,0.0,1.0,32.0,0
32.0,12.0,52.0,315.0,0
50.0,19.0,117.0,562.0,0
33.0,16.0,20.0,177.0,0
30.0,6.0,37.0,154.0,0
24.0,6.0,14.0,179.0,0
63.0,14.0,261.0,346.0,0
150.0,21.0,561.0,884.0,0
166.0,18.0,1519.0,740.0,0
227.0,46.0,3425.0,876.0,0
265.0,36.0,5133.0,1909.0,1
8.0,4.0,0.0,77.0,0
27.0,7.0,48.0,115.0,0
25.0,4.0,13.0,132.0,0
40.0,11.0,88.0,262.0,0
1.0,0.0,0.0,14.0,0
28.0,4.0,54.0,163.0,0
17.0,6.0,7.0,163.0,0
4.0,1.0,0.0,22.0,0
14.0,2.0,0.0,67.0,0
7.0,0.0,3.0,37.0,0
61.0,8.0,125.0,634.0,0
44.0,11.0,21.0,325.0,0
37.0,9.0,26.0,217.0,0
67.0,18.0,35.0,894.0,0
14.0,4.0,2.0,117.0,0
3.0,1.0,0.0,14.0,0
29.0,7.0,25.0,201.0,0
65.0,1.0,0.0,320.0,0
10.0,2.0,1.0,57.0,0
44.0,0.0,36.0,253.0,0
9.0,2.0,0.0,54.0,0
29.0,4.0,30.0,153.0,0
41.0,14.0,50.0,351.0,0
28.0,6.0,0.0,155.0,0
55.0,12.0,174.0,350.0,0
7.0,2.0,0.0,185.0,0
24.0,7.0,1.0,150.0,0
104.0,15.0,678.0,552.0,0
15.0,2.0,6.0,101.0,0
37.0,7.0,72.0,211.0,0
34.0,6.0,141.0,230.0,0
58.0,7.0,261.0,264.0,0
111.0,35.0,260.0,753.0,0
9.0,4.0,0.0,54.0,0
72.0,16.0,258.0,727.0,0
19.0,6.0,9.0,84.0,0
10.0,2.0,0.0,58.0,0
148.0,31.0,1372.0,633.0,0
125.0,29.0,856.0,833.0,0
1.0,0.0,0.0,15.0,0
5.0,1.0,0.0,35.0,0
49.0,19.0,152.0,346.0,0
22.0,5.0,35.0,115.0,0
35.0,12.0,30.0,164.0,0
79.0,14.0,420.0,458.0,0
53.0,3.0,37.0,385.0,0
77.0,14.0,130.0,691.0,0
8.0,3.0,0.0,44.0,0
1.0,0.0,0.0,14.0,0
19.0,7.0,16.0,103.0,0
56.0,12.0,205.0,275.0,0
0.0,0.0,0.0,6.0,0
30.0,12.0,29.0,152.0,0
12.0,2.0,2.0,229.0,0
0.0,0.0,0.0,7.0,0
26.0,3.0,42.0,124.0,0
20.0,1.0,13.0,156.0,0
38.0,7.0,42.0,177.0,0
13.0,5.0,0.0,138.0,0
24.0,13.0,56.0,220.0,0
23.0,5.0,37.0,130.0,0
21.0,4.0,8.0,140.0,0
12.0,1.0,3.0,36.0,0
1.0,0.0,0.0,12.0,0
3.0,0.0,0.0,13.0,0
1.0,0.0,0.0,11.0,0
2.0,0.0,0.0,11.0,0
156.0,32.0,1275.0,1188.0,0
89.0,19.0,485.0,456.0,0
248.0,36.0,2413.0,1522.0,1
12.0,3.0,6.0,95.0,0
7.0,0.0,1.0,30.0,0
4.0,0.0,1.0,17.0,0
21.0,1.0,8.0,95.0,0
78.0,24.0,93.0,460.0,0
16.0,1.0,3.0,94.0,0
7.0,1.0,0.0,40.0,0
7.0,1.0,0.0,34.0,0
12.0,0.0,1.0,48.0,0
10.0,0.0,1.0,127.0,0
5.0,0.0,0.0,61.0,0
9.0,0.0,1.0,67.0,0
8.0,0.0,1.0,27.0,0
5.0,0.0,0.0,20.0,0
31.0,3.0,5.0,128.0,0
4.0,0.0,0.0,11.0,0
28.0,2.0,0.0,202.0,0
11.0,2.0,2.0,43.0,0
25.0,6.0,29.0,112.0,0
8.0,3.0,2.0,54.0,0
15.0,2.0,0.0,66.0,0
32.0,6.0,29.0,144.0,0
11.0,5.0,0.0,70.0,0
7.0,1.0,0.0,28.0,0
6.0,1.0,0.0,27.0,0
11.0,3.0,2.0,47.0,0
30.0,5.0,25.0,143.0,0
14.0,15.0,4.0,144.0,0
8.0,2.0,0.0,49.0,0
6.0,1.0,0.0,24.0,0
20.0,5.0,0.0,97.0,0
6.0,1.0,0.0,27.0,0
17.0,5.0,7.0,85.0,0
4.0,0.0,0.0,20.0,0
5.0,0.0,0.0,20.0,0
32.0,21.0,16.0,242.0,0
20.0,10.0,1.0,126.0,0
23.0,5.0,12.0,121.0,0
9.0,1.0,0.0,28.0,0
11.0,2.0,0.0,54.0,0
8.0,2.0,0.0,52.0,0
12.0,2.0,2.0,51.0,0
5.0,0.0,0.0,20.0,0
15.0,4.0,20.0,79.0,0
43.0,18.0,4.0,231.0,0
41.0,10.0,90.0,309.0,0
10.0,3.0,0.0,71.0,0
51.0,19.0,82.0,404.0,0
16.0,3.0,0.0,85.0,0
10.0,2.0,0.0,55.0,0
19.0,6.0,3.0,130.0,0
9.0,3.0,0.0,39.0,0
2.0,1.0,0.0,20.0,0
7.0,0.0,3.0,27.0,0
22.0,2.0,6.0,133.0,0
67.0,26.0,481.0,498.0,0
6.0,2.0,2.0,36.0,0
34.0,18.0,227.0,179.0,0
22.0,5.0,37.0,114.0,0
17.0,3.0,6.0,220.0,0
15.0,0.0,3.0,134.0,0
3.0,0.0,0.0,20.0,0
62.0,14.0,194.0,354.0,0
40.0,9.0,38.0,238.0,0
51.0,12.0,106.0,381.0,0
83.0,13.0,444.0,375.0,0
46.0,8.0,86.0,222.0,0
120.0,42.0,877.0,691.0,0
24.0,5.0,23.0,499.0,0
9.0,5.0,5.0,79.0,0
51.0,9.0,60.0,335.0,0
31.0,15.0,65.0,267.0,0
44.0,10.0,102.0,423.0,0
17.0,1.0,0.0,78.0,0
80.0,16.0,218.0,468.0,0
82.0,16.0,283.0,550.0,0
2.0,0.0,0.0,7.0,0
6.0,0.0,0.0,23.0,0
25.0,6.0,37.0,134.0,0
1.0,0.0,0.0,13.0,0
2.0,1.0,0.0,18.0,0
1.0,0.0,0.0,12.0,0
46.0,12.0,178.0,232.0,0
16.0,6.0,30.0,100.0,0
14.0,8.0,11.0,91.0,0
33.0,13.0,108.0,195.0,0
52.0,19.0,282.0,306.0,0
47.0,11.0,155.0,219.0,0
